city,state,title,url
Evansville,Indiana,Evansville Lapidary Society,http://evansvillelapidarysociety.tumblr.com/
Richmond,Indiana,"Eastern Indiana Gem & Geological Society, Inc.",http://eiggs.weebly.com/
Bedford,Indiana,"Lawrence County Rock Club, Inc",http://www.lawrencecountyrockclub.org/
South Bend,Indiana,"Michiana Gem & Mineral Society, Inc.",http://www.michianagms.org/
Fort Wayne,Indiana,Three Rivers Gem & Mineral Society,http://3riversgem_mineral.tripod.com/
Cedar Rapids,Iowa,Cedar Valley Rocks and Minerals Society,http://www.cedarvalleyrockclub.org/
Des Moines,Iowa,Des Moines Lapidary Society,http://dmlapidary.org/
Mount Vernon,Iowa,Geology Club @ Cornell College,http://orgs.cornellcollege.edu/geo_club/
Ames,Iowa,Iowa State University Geology Club,https://www.facebook.com/ISUGEOCLUB/
Fort Dodge,Iowa,River Valley Rockhounds,http://amfed.org/mwf/states/Iowa/RiverValley.html
Fairfield,Iowa,The Sac & Fox Lapidary Club,http://members.iowatelecom.net/billrath/rock_club.html
Kansas City,Kansas,Olathe Gem and Mineral Society,http://olathegemclub.com/
Topeka,Kansas,Topeka Gem & Mineral Society,http://www.topekagms.org/
Wichita,Kansas,Wichita Gem and Mineral Society,http://www.wgmsks.org/
Wichita,Kansas,Wichita Paleontological Society,http://www.reocities.com/CapeCanaveral/Hangar/4265/home.html
Lexington,Kentucky,Blue Grass Gem & Mineral Club of Central Kentucky,http://bggamc.homestead.com/
Louisville,Kentucky,KYANA Geological Society,http://www.kyanageo.org/
Lexington,Kentucky,Kentucky Paleontological Society,http://www.uky.edu/OtherOrgs/KPS/
Shreveport,Louisiana,Ark-La-Tex Gem & Mineral Society,http://larockclub.com/
Baton Rouge,Louisiana,Baton Rouge Gem & Mineral Society,http://www.brgemandmineral.org/
Leesville,Louisiana,DeRidder Gem & Mineral Society,https://www.facebook.com/DeRidder-Gem-Mineral-Society-1123146734440993/
Winthrop,Maine,Kennebec Rocks and Minerals Club,http://kennebec-rocksandminerals.com/
Portland,Maine,Maine Mineralogical & Geological Society,http://mainemineralclub.org/
South Paris,Maine,Oxford County Mineral and Gem Association,http://ocmgassoc.blogspot.com/
Milford,Maine,Penobscot Mineral and Lapidary Club,http://penobscotminerallapidaryclub.com/index.html
Bowie,Maryland,American Fossil Federation,http://americanfossilfederation.org/Home.html
Baltimore,Maryland,Baltimore Mineral Society,http://www.baltimoremineralsociety.org/
Solomons,Maryland,Calvert Marine Museum Fossil Club,http://www.calvertmarinemuseum.com/209/Fossil-Club
Elkridge,Maryland,Central Maryland Rock and Mineral Collectors Exchange,https://www.meetup.com/rockhounds/
Baltimore,Maryland,Chesapeake Gem & Mineral Society,http://www.chesapeakegemandmineral.org/
Baltimore,Maryland,"Gem Cutters Guild of Baltimore, Inc.",http://www.gemcuttersguild.com/
Rockville,Maryland,"Gem, Lapidary, and Mineral Society of Montgomery County, MD., Inc.",http://www.glmsmc.com/
Bowie,Maryland,Maryland Geological Society,http://www.ecphora.net/mgs/
"Washington, DC",Maryland,Micromineralogists of the National Capital Area,http://dcmicrominerals.org/
Annapolis,Maryland,Patuxent Lapidary Guild,http://www.patuxentlapidary.org/
Clinton,Maryland,Southern Maryland Rock and Mineral Club,http://www.smrmc.org/
"Washington, DC",Maryland,The Mineralogical Society of the District of Columbia,http://www.mineralogicalsocietyofdc.org/
Boston,Massachusetts,"Boston Mineral Club, Inc.",http://www.bostonmineralclub.org/
Springfield,Massachusetts,Connecticut Valley Mineral Club,http://www.cvmineralclub.org/
Chemlsford,Massachusetts,Micromounters of New England,http://micromountersofnewengland.org/
Westford,Massachusetts,Nashoba Valley Mineralogical Society,http://www.americantowns.com/ma/westford/organization/nashoba_valley_mineralogical_society
South Hamilton,Massachusetts,North Shore Rock & Mineral Club of Massachusetts,http://www.northshorerock.org/
North Adams,Massachusetts,Northern Berkshire Mineral Club,http://nbmclub.webs.com/
Bridgewater,Massachusetts,Southeastern Massachusetts Mineral Club,http://semmc.com/
Worcester,Massachusetts,Worcester Mineral Club,http://worcestermineralclub.org/
Big Rapids,Michigan,"Big Rapids Rock, Gem & Mineral Club",https://sites.google.com/site/bigrapidsrockgemmineralclub/
Lansing,Michigan,Central Michigan Lapidary and Mineral Society,http://michrocks.org/
Dollar Bay,Michigan,Copper Country Rock and Mineral Club,http://www.ccrmc.info/
Flint,Michigan,Flint Rock and Gem Club,http://www.flintrockandgem.org/
Traverse City,Michigan,Grand Traverse Area Rock and Mineral Club,http://tcrockhounds.com/
Wyoming,Michigan,Indian Mounds Rock & Mineral Club,http://www.indianmoundsrockclub.com/
Ishpeming,Michigan,Ishpeming Rock and Mineral Club,http://www.ishpemingrocks.org/
Kalamazoo,Michigan,Kalamazoo Geological & Mineral Society,http://kalamazoorockclub.org/
Howell,Michigan,Livingston Gem & Mineral Society,http://www.livingstongemandmineralsociety.com/
Michigan Center,Michigan,Michigan Gem & Mineral Society,http://mgmsrockclub.com/
Bloomfield Hills,Michigan,Michigan Mineralogical Society,https://www.michmin.org/
Midland,Michigan,Mid-Michigan Rock Club,http://www.midmichrockclub.com/?Page=1
Grand Rapids,Michigan,Midwest Faceters' Guild,http://www.midwestfaceters.org/
Taylor,Michigan,Midwest Mineralological & Lapidary Society,http://www.mmls.us/
Roscommon,Michigan,Mikenauk Rock and Gem Club,http://mikenaukclub.weebly.com/
Mt. Clemens,Michigan,Mount Clemens Gem & Lapidary Society,http://mcgls.org/
Waterford,Michigan,Oakland County Earth Science Club,http://www.ocesc.com/
Livonia,Michigan,Roamin Club,https://roaminrockclub.weebly.com/
Morenci,Michigan,StateLine Gem & Mineral Society,http://statelinegms.com/
Holland,Michigan,"Tulip City Gem & Mineral Club, Inc.",http://www.tulipcity.org/
Minneapolis,Minnesota,Anoka County Gem & Mineral Club,http://www.amfed.org/mwf/states/Minnesota/AnokaGem.html
Brainerd,Minnesota,"Cuyuna Rock, Gem and Mineral Society",http://cuyunarockclub.org/wp/
Falcon Heights,Minnesota,Minnesota Mineral Club,http://minnesotamineralclub.org/
Mankato,Minnesota,Minnesota Valley Gem & Mineral Club,http://www.mnvalleygemandmineralclub.com/
Stillwater,Minnesota,St Croix Rockhounds,http://stcroixrockhounds.org/
Gulfport,Mississippi,"Harrison County Gem & Mineral Society, Inc.",http://www.gulfportgems.org/
Jackson,Mississippi,Mississippi Gem & Mineral Society,http://missgems.org/
Jackson,Mississippi,Mississippi Geological Society,http://www.missgeo.com/
Ocean Springs,Mississippi,Mississippi Gulf Coast Gem and Mineral Society,http://www.mgcgms.org/
Tupelo,Mississippi,North Mississippi Gem and Mineral Society,http://www.nmgms.org/
Columbia,Missouri,Central Missouri Rock and Lapidary Club,http://www.cmrlc.org/
Independence,Missouri,Independence Gem & Mineral Society,http://www.igams.co/
St. Joseph,Missouri,Missouri Valley Gem & Mineral Society,http://www.movalleyrockclub.com/
Lincoln,Missouri,"Mozarkite Society of Lincoln, Inc.",http://www.mozarkite.com/
Springfield,Missouri,Ozark Mountain Gem & Mineral Society,https://www.facebook.com/omgms.57
St. Louis,Missouri,Rock Hobby Club of Greater Saint Louis,xxxxxhttp://rockhobby.stlearthsci.org/Home.aspxxxxxx
St. Louis,Missouri,Rockwood Gem & Mineral Society,http://rockwood.stlearthsci.org/
St. Louis,Missouri,St. Louis Mineral & Gem Society,http://www.stlrockclub.com/
St. Peters,Missouri,"Show Me Gems & Minerals Club, Inc.",http://showme.stlearthsci.org/
Kansas City,Missouri,Show-Me Rockhounds Kansas City,https://showmerockhounds.com/
Billings,Montana,"Billings Gem & Mineral Club, Inc.",http://www.billingsgemclub.com/
Corvallis,Montana,Bitterroot Gem & Mineral Society,http://www.ravalligemandmineralclub.org/
Bozeman,Montana,Bozeman Gem and Mineral Club,http://bozemangemandmineralclub.com/
Missoula,Montana,Hellgate Mineral Society,https://www.facebook.com/HellgateMineralSociety/
Kalispell,Montana,Kalispell Rockhound Club,http://www.kalispellrockhounds.org/
Lincoln,Nebraska,"Lincoln Gem & Mineral Club, Inc.",https://www.lincolngemmineralclub.org/
Reno,Nevada,Comstock Gold Prospectors,http://cgpgold.org/
Carson City,Nevada,Great Basin Gem & Mineral Club,http://greatbasingemandmineralclub.rocks/
Carson City,Nevada,High Desert Rockers,https://highdesertrockers.wordpress.com/
